year,company,car_name,km_driven,fuel_type,transmission,price,location
2021,Maruti,Ciaz ALPHA AT 1.5 SHVS PETROL,37265,Petrol,Automatic,₹9.04 Lakh,Ahmedabad
2017,Honda,Jazz 1.5L I-DTEC S,121319,Diesel,Manual,₹4.40 Lakh,Ahmedabad
2022,Maruti,Alto K10 LXI,10776,Petrol,Manual,₹4.28 Lakh,Ahmedabad
2016,Hyundai,Grand i10 ASTA (O) AT 1.2 KAPPA VTVT,18428,Petrol,Automatic,₹5.26 Lakh,Ahmedabad
2016,Hyundai,Xcent S 1.2,98189,Petrol,Manual,₹4.49 Lakh,Ahmedabad
2019,MG,HECTOR SHARP HYBRID 1.5 PETROL,37254,Petrol,Manual,₹11.99 Lakh,Ahmedabad
2017,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,123337,Petrol,Manual,₹4.67 Lakh,Ahmedabad
2018,Jeep,Compass LIMITED PLUS PETROL AT,99670,Petrol,Automatic,₹11.18 Lakh,Ahmedabad
2016,Hyundai,Elite i20 MAGNA 1.2,80868,Petrol,Manual,₹5.21 Lakh,Ahmedabad
2015,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,93688,Petrol,Manual,₹4.04 Lakh,Ahmedabad
2019,Mahindra,XUV300 W8 (O) 1.2 PETROL,64132,Petrol,Manual,₹8.16 Lakh,Ahmedabad
2020,Maruti,S PRESSO VXI PLUS AMT,66068,Petrol,Automatic,₹4.07 Lakh,Ahmedabad
2018,Ford,Ecosport TITANIUM + 1.5L PETROL AT,100799,Petrol,Automatic,₹7.24 Lakh,Ahmedabad
2019,Jeep,Compass LONGITUDE (O) 1.4 PETROL AT,47095,Petrol,Automatic,₹11.63 Lakh,Ahmedabad
2022,Tata,Harrier XZ PLUS 2.0L DARK EDITION,23558,Diesel,Manual,₹19.01 Lakh,Ahmedabad
2018,Maruti,Alto K10 VXI,46028,Petrol,Manual,₹3.20 Lakh,Ahmedabad
2017,Maruti,Wagon R 1.0 VXI AMT,19767,Petrol,Automatic,₹4.32 Lakh,Ahmedabad
2022,Maruti,Baleno ZETA PETROL 1.2,35783,Petrol,Manual,₹7.33 Lakh,Ahmedabad
2022,Tata,ALTROZ XM PLUS PETROL,23443,Petrol,Manual,₹6.75 Lakh,Ahmedabad
2015,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,90561,Petrol,Manual,₹4.21 Lakh,Ahmedabad
2022,Mahindra,XUV300 W8 (O) 1.2 PETROL,16155,Petrol,Manual,₹10.41 Lakh,Ahmedabad
2020,MG,HECTOR SHARP 1.5 DCT PETROL,24668,Petrol,Automatic,₹14.13 Lakh,Ahmedabad
2016,Maruti,Wagon R 1.0 LXI,25881,Petrol,Manual,₹3.63 Lakh,Ahmedabad
2023,KIA,SONET GTX PLUS 1.0 DCT,21308,Petrol,Automatic,₹12.83 Lakh,Ahmedabad
2021,Honda,Amaze 1.2L I-VTEC VX,45311,Petrol,Manual,₹6.92 Lakh,Ahmedabad
2017,Maruti,Baleno ALPHA PETROL 1.2,73866,Petrol,Manual,₹5.52 Lakh,Ahmedabad
2017,Maruti,Baleno ZETA PETROL 1.2,97030,Petrol,Manual,₹4.66 Lakh,Ahmedabad
2015,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,24738,Petrol,Manual,₹4.14 Lakh,Ahmedabad
2019,MG,HECTOR SHARP 1.5 DCT PETROL,33986,Petrol,Automatic,₹13.13 Lakh,Ahmedabad
2021,Maruti,Baleno DELTA PETROL 1.2,38880,Petrol,Manual,₹6.02 Lakh,Ahmedabad
2022,Mahindra,XUV300 W8(O) 1.2 PETROL DUAL TONE,11262,Petrol,Manual,₹11.34 Lakh,Ahmedabad
2017,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,24632,Petrol,Manual,₹4.98 Lakh,Ahmedabad
2020,Mahindra,XUV300 W8 (O) 1.5 DIESEL AMT,64767,Diesel,Automatic,₹9.57 Lakh,Ahmedabad
2017,Maruti,IGNIS DELTA 1.2 AMT,37621,Petrol,Automatic,₹4.84 Lakh,Ahmedabad
2021,KIA,SELTOS GTX PLUS 1.4 PETROL,49814,Petrol,Manual,₹13.20 Lakh,Ahmedabad
2020,Maruti,Alto LXI,29588,Petrol,Manual,₹3.36 Lakh,Ahmedabad
2015,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,77319,Petrol,Manual,₹3.97 Lakh,Ahmedabad
2023,Maruti,Baleno ALPHA PETROL 1.2,10731,Petrol,Manual,₹8.76 Lakh,Ahmedabad
2022,MG,HECTOR SHARP 1.5 PETROL CVT,16208,Petrol,Automatic,₹16.27 Lakh,Ahmedabad
2020,Tata,ALTROZ XZ DIESEL,64138,Diesel,Manual,₹7.12 Lakh,Ahmedabad
2017,Maruti,Baleno DELTA PETROL 1.2,89264,Petrol,Manual,₹4.77 Lakh,Ahmedabad
2020,MG,HECTOR SHARP 1.5 DCT PETROL,35825,Petrol,Automatic,₹14.20 Lakh,Ahmedabad
2021,KIA,SELTOS GTX PLUS DCT 1.4 PETROL,44793,Petrol,Automatic,₹14.92 Lakh,Ahmedabad
2021,KIA,SELTOS GTX PLUS AT 1.5 DIESEL,37844,Diesel,Automatic,₹15.17 Lakh,Ahmedabad
2020,Maruti,Baleno ZETA PETROL 1.2,57587,Petrol,Manual,₹6.39 Lakh,Ahmedabad
2018,Maruti,Baleno DELTA CVT PETROL 1.2,104977,Petrol,Automatic,₹5.18 Lakh,Ahmedabad
2022,KIA,SELTOS GTX PLUS 1.4 PETROL,15224,Petrol,Manual,₹14.82 Lakh,Ahmedabad
2018,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,27894,Petrol,Manual,₹8.02 Lakh,Ahmedabad
2018,Jeep,Compass LIMITED (O) 1.4 PETROL AT,57747,Petrol,Automatic,₹10.95 Lakh,Ahmedabad
2017,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,61905,Petrol,Manual,₹4.63 Lakh,Ahmedabad
2021,Maruti,Baleno DELTA PETROL 1.2,43149,Petrol,Manual,₹6.20 Lakh,Ahmedabad
2021,Maruti,Baleno ZETA PETROL 1.2,36251,Petrol,Manual,₹7.03 Lakh,Ahmedabad
2020,Maruti,Baleno ZETA PETROL 1.2,71127,Petrol,Manual,₹6.42 Lakh,Ahmedabad
2018,Hyundai,Grand i10 SPORTZ AT 1.2 KAPPA VTVT,46689,Petrol,Automatic,₹5.05 Lakh,Ahmedabad
2014,Maruti,Wagon R 1.0 LXI,115256,CNG,Manual,₹3.27 Lakh,Ahmedabad
2019,Maruti,Baleno DELTA PETROL 1.2,19224,Petrol,Manual,₹5.90 Lakh,Ahmedabad
2017,Maruti,Baleno ALPHA PETROL 1.2,99026,Petrol,Manual,₹5.14 Lakh,Ahmedabad
2018,Maruti,Baleno ZETA CVT PETROL 1.2,64827,Petrol,Automatic,₹6.08 Lakh,Ahmedabad
2023,KIA,SELTOS GTX PLUS DCT 1.4 PETROL,6495,Petrol,Automatic,₹17.23 Lakh,Ahmedabad
2022,Mahindra,XUV300 W8 (O) 1.5 DIESEL AMT,15946,Diesel,Automatic,₹12.38 Lakh,Ahmedabad
2020,MG,HECTOR SHARP 1.5 DCT PETROL,15266,Petrol,Automatic,₹14.64 Lakh,Ahmedabad
2022,Hyundai,NEW SANTRO MAGNA,5485,Petrol,Manual,₹5.17 Lakh,Ahmedabad
2017,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,112367,Petrol,Manual,₹4.28 Lakh,Ahmedabad
2015,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,56581,Petrol,Manual,₹4.05 Lakh,Ahmedabad
2020,Maruti,Baleno ZETA PETROL 1.2,58346,Petrol,Manual,₹6.39 Lakh,Ahmedabad
2021,Maruti,Baleno DELTA PETROL 1.2,11595,Petrol,Manual,₹6.57 Lakh,Ahmedabad
2021,Maruti,Baleno DELTA PETROL 1.2,23479,Petrol,Manual,₹6.59 Lakh,Ahmedabad
2021,Maruti,Baleno ZETA CVT PETROL 1.2,31625,Petrol,Automatic,₹7.79 Lakh,Ahmedabad
2019,Maruti,Alto LXI,57555,Petrol,Manual,₹3.20 Lakh,Ahmedabad
2019,KIA,SELTOS HTX PLUS 1.5 DIESEL,80499,Diesel,Manual,₹11.77 Lakh,Ahmedabad
2017,Maruti,Baleno ALPHA PETROL 1.2,75059,Petrol,Manual,₹5.52 Lakh,Ahmedabad
2017,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,89460,Petrol,Manual,₹4.07 Lakh,Ahmedabad
2022,Maruti,Baleno ZETA PETROL 1.2,12276,Petrol,Manual,₹7.63 Lakh,Ahmedabad
2020,Maruti,Baleno DELTA PETROL 1.2,54733,Petrol,Manual,₹5.99 Lakh,Ahmedabad
2017,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,91275,CNG,Manual,₹5.19 Lakh,Ahmedabad
2022,Tata,PUNCH ACCOMPLISHED MT,25659,Petrol,Manual,₹6.91 Lakh,Ahmedabad
2012,Hyundai,i20 MAGNA (O) 1.2,70251,CNG,Manual,₹2.73 Lakh,Ahmedabad
2020,Volkswagen,Polo COMFORTLINE 1.0L MPI,54292,Petrol,Manual,₹5.77 Lakh,Ahmedabad
2021,Hyundai,Creta S 1.5 PETROL,14066,Petrol,Manual,₹12.19 Lakh,Ahmedabad
2022,Hyundai,Creta SX 1.5 PETROL,43583,Petrol,Manual,₹12.77 Lakh,Ahmedabad
2018,Maruti,Ertiga ZDI + SHVS,23534,Diesel,Manual,₹9.19 Lakh,Ahmedabad
2020,Maruti,S PRESSO VXI,2974,Petrol,Manual,₹4.08 Lakh,Ahmedabad
2017,Ford,Ecosport TITANIUM 1.5L PETROL,78036,Petrol,Manual,₹5.90 Lakh,Ahmedabad
2018,Hyundai,Eon ERA +,24181,Petrol,Manual,₹3.20 Lakh,Ahmedabad
2021,Maruti,S PRESSO VXI+,63516,Petrol,Manual,₹4.17 Lakh,Ahmedabad
2022,Tata,PUNCH CREATIVE 1.2 AMT KAZIRANGA EDITION,15212,Petrol,Automatic,₹8.32 Lakh,Ahmedabad
2017,Datsun,Redi Go T (O),50790,Petrol,Manual,₹2.03 Lakh,Ahmedabad
2021,Maruti,Baleno DELTA PETROL 1.2,38303,Petrol,Manual,₹6.47 Lakh,Ahmedabad
2015,Hyundai,Creta SX PLUS 1.6 PETROL,68592,Petrol,Manual,₹6.84 Lakh,Ahmedabad
2022,Tata,NEXON XZ PLUS PETROL DARK EDITION,20477,Petrol,Manual,₹8.47 Lakh,Ahmedabad
2017,Hyundai,Elite i20 SPORTZ 1.2,87998,Petrol,Manual,₹5.21 Lakh,Ahmedabad
2017,Maruti,Dzire VDI,60592,Diesel,Manual,₹5.70 Lakh,Ahmedabad
2021,Nissan,MAGNITE XV MT,12811,Petrol,Manual,₹6.31 Lakh,Ahmedabad
2020,Maruti,Vitara Brezza ZXI PLUS,23702,Petrol,Manual,₹8.11 Lakh,Ahmedabad
2017,Renault,Kwid CLIMBER 1.0 AMT,33755,Petrol,Automatic,₹3.08 Lakh,Ahmedabad
2018,Datsun,Redi Go GOLD LIMITED EDITION,47866,Petrol,Manual,₹2.23 Lakh,Ahmedabad
2023,Mahindra,Bolero B6,14923,Diesel,Manual,₹10.07 Lakh,Ahmedabad
2012,Hyundai,i20 MAGNA (O) 1.2,76410,Petrol,Manual,₹3.06 Lakh,Ahmedabad
2021,Hyundai,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,39064,Petrol,Manual,₹5.66 Lakh,Ahmedabad
2023,Tata,Tiago XT CNG,11522,CNG,Manual,₹6.85 Lakh,Ahmedabad
2018,Tata,TIGOR XZ PLUS PETROL,67027,Petrol,Manual,₹4.94 Lakh,Ahmedabad
2014,Maruti,Swift Dzire VDI,44728,Diesel,Manual,₹4.64 Lakh,Ahmedabad
2022,Tata,ALTROZ XZA PLUS,17069,Petrol,Automatic,₹7.67 Lakh,Ahmedabad
2021,Hyundai,VENUE SX 1.0 TURBO,37550,Petrol,Manual,₹8.93 Lakh,Ahmedabad
2016,Hyundai,Eon ERA +,47883,Petrol,Manual,₹2.65 Lakh,Ahmedabad
2022,Maruti,Alto LXI OPT CNG,21422,CNG,Manual,₹4.57 Lakh,Ahmedabad
2021,Tata,Tiago XT PETROL,11786,Petrol,Manual,₹5.34 Lakh,Ahmedabad
2021,Hyundai,NEW I20 Asta 1.0 GDI Turbo IMT,26101,Petrol,Manual,₹7.86 Lakh,Ahmedabad
2018,Honda,Amaze 1.2L I-VTEC S,70213,CNG,Manual,₹5.56 Lakh,Ahmedabad
2021,Hyundai,VENUE SX 1.0 TURBO,5896,Petrol,Manual,₹8.68 Lakh,Ahmedabad
2022,Tata,Safari XT PLUS,39984,Diesel,Manual,₹16.40 Lakh,Ahmedabad
2015,Maruti,Ertiga VDI,96118,Diesel,Manual,₹6.18 Lakh,Ahmedabad
2016,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,99821,CNG,Manual,₹3.82 Lakh,Ahmedabad
2020,Ford,Ecosport TITANIUM + 1.5L PETROL,22046,Petrol,Manual,₹8.31 Lakh,Ahmedabad
2019,Honda,City 1.5L I-VTEC ZX,20884,Petrol,Manual,₹9.13 Lakh,Ahmedabad
2012,Hyundai,i10 MAGNA 1.2,28885,Petrol,Manual,₹2.65 Lakh,Ahmedabad
2020,Maruti,S PRESSO VXI+,26931,Petrol,Manual,₹3.95 Lakh,Ahmedabad
2012,Honda,Brio S MT,98836,CNG,Manual,₹2.30 Lakh,Ahmedabad
2017,Maruti,Dzire VXI AMT,21576,Petrol,Automatic,₹5.62 Lakh,Ahmedabad
2019,Hyundai,NEW SANTRO SPORTZ MT,66915,CNG,Manual,₹4.48 Lakh,Ahmedabad
2020,Tata,Tiago XZA PLUS PETROL,32586,Petrol,Automatic,₹5.76 Lakh,Ahmedabad
2022,Mahindra,XUV700 AX 5 P AT 5 STR,6492,Petrol,Automatic,₹18.39 Lakh,Ahmedabad
2019,Hyundai,New Elantra 2.0 SX AT PETROL,37705,Petrol,Automatic,₹11.10 Lakh,Ahmedabad
2018,Maruti,Baleno ZETA PETROL 1.2,50480,Petrol,Manual,₹5.32 Lakh,Ahmedabad
2022,Tata,NEXON XZ PLUS (HS) PETROL,17501,Petrol,Manual,₹9.45 Lakh,Ahmedabad
2015,Hyundai,Grand i10 ASTA AT 1.2 KAPPA VTVT,69295,Petrol,Automatic,₹4.53 Lakh,Ahmedabad
2018,Maruti,Baleno ALPHA PETROL 1.2,72942,Petrol,Manual,₹5.48 Lakh,Ahmedabad
2019,Maruti,Alto VXI,51627,Petrol,Manual,₹3.31 Lakh,Ahmedabad
2019,Renault,TRIBER RXZ,53484,Petrol,Manual,₹5.23 Lakh,Ahmedabad
2021,Mahindra,Thar LX PETROL HT 4WD AT,46448,Petrol,Automatic,₹12.67 Lakh,Ahmedabad
2021,Maruti,Alto LXI,54840,Petrol,Manual,₹3.50 Lakh,Ahmedabad
2014,Honda,Brio S MT,34445,Petrol,Manual,₹3.65 Lakh,Ahmedabad
2015,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,41707,Petrol,Manual,₹3.93 Lakh,Ahmedabad
2023,Tata,PUNCH CREATIVE MT,4148,Petrol,Manual,₹7.89 Lakh,Ahmedabad
2013,Hyundai,i20 MAGNA (O) 1.2,96053,Petrol,Manual,₹3.49 Lakh,Ahmedabad
2018,Maruti,Wagon R 1.0 VXI,30552,Petrol,Manual,₹3.80 Lakh,Ahmedabad
2017,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,53031,CNG,Manual,₹5.29 Lakh,Ahmedabad
2017,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,90859,Petrol,Manual,₹4.46 Lakh,Ahmedabad
2021,Tata,Tiago XZA PLUS PETROL,13321,Petrol,Automatic,₹6.34 Lakh,Ahmedabad
2022,Tata,Safari XZA PLUS DARK EDITION,49312,Diesel,Automatic,₹18.71 Lakh,Ahmedabad
2016,Maruti,Baleno DELTA PETROL 1.2,71982,Petrol,Manual,₹4.69 Lakh,Ahmedabad
2015,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,39630,Petrol,Manual,₹4.28 Lakh,Ahmedabad
2021,Maruti,Alto LXI,33626,Petrol,Manual,₹3.64 Lakh,Ahmedabad
2023,KIA,SONET HTX 1.5 AT,11180,Diesel,Automatic,₹12.22 Lakh,Ahmedabad
2021,Tata,ALTROZ XZ DIESEL,29327,Diesel,Manual,₹8.43 Lakh,Ahmedabad
2021,Maruti,Baleno DELTA PETROL 1.2,54752,Petrol,Manual,₹6.22 Lakh,Ahmedabad
2015,Hyundai,Elite i20 MAGNA 1.2,63112,Petrol,Manual,₹5.08 Lakh,Ahmedabad
2012,Maruti,Swift VDI,96649,Diesel,Manual,₹3.39 Lakh,Ahmedabad
2021,Tata,NEXON XZ DIESEL,57004,Diesel,Manual,₹9.80 Lakh,Ahmedabad
2017,Maruti,Eeco 5 STR WITH A/C+HTR,93158,CNG,Manual,₹4.22 Lakh,Ahmedabad
2016,Hyundai,Xcent SX 1.2,46296,Petrol,Manual,₹3.64 Lakh,Ahmedabad
2019,Tata,Tiago XZA PETROL,36293,Petrol,Automatic,₹4.82 Lakh,Ahmedabad
2021,Maruti,Swift VXI,44299,Petrol,Manual,₹6.41 Lakh,Ahmedabad
2018,Tata,TIGOR XZ PETROL,68548,CNG,Manual,₹4.87 Lakh,Ahmedabad
2022,Maruti,New Wagon-R ZXI 1.2,6507,Petrol,Manual,₹5.52 Lakh,Ahmedabad
2021,Maruti,Alto LXI,5546,Petrol,Manual,₹3.61 Lakh,Ahmedabad
2020,Maruti,New Wagon-R LXI CNG 1.0,29795,CNG,Manual,₹5.64 Lakh,Ahmedabad
2016,Volkswagen,Polo HIGHLINE1.2L,52043,Petrol,Manual,₹4.63 Lakh,Ahmedabad
2018,Hyundai,Elite i20 ASTA 1.2,96316,Petrol,Manual,₹5.58 Lakh,Ahmedabad
2019,Mahindra,XUV300 W4 1.5 DIESEL,68545,Diesel,Manual,₹6.86 Lakh,Ahmedabad
2016,Hyundai,Creta SX PLUS 1.6 PETROL,14025,Petrol,Manual,₹7.87 Lakh,Ahmedabad
2015,Volkswagen,Polo GT TSI AT,92159,Petrol,Automatic,₹4.83 Lakh,Ahmedabad
2017,Hyundai,Elite i20 ASTA 1.4 CRDI (O),88247,Diesel,Manual,₹6.52 Lakh,Ahmedabad
2021,Hyundai,Creta SX (O) AT 1.5 DIESEL,50859,Diesel,Automatic,₹15.44 Lakh,Ahmedabad
2016,Maruti,Swift VXI,55170,Petrol,Manual,₹4.48 Lakh,Ahmedabad
2020,Mahindra,XUV500 W7,32491,Diesel,Manual,₹11.34 Lakh,Ahmedabad
2021,Maruti,Dzire VXI,25625,Petrol,Manual,₹6.20 Lakh,Ahmedabad
2021,MG,HECTOR SHARP 2.0 DIESEL,94595,Diesel,Manual,₹13.81 Lakh,Ahmedabad
2023,Maruti,New Wagon-R VXI 1.0 AMT,2090,Petrol,Automatic,₹6.23 Lakh,Ahmedabad
2019,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,44726,CNG,Manual,₹5.15 Lakh,Ahmedabad
2020,Hyundai,NEW I20 ASTA 1.2 MT,68925,Petrol,Manual,₹7.02 Lakh,Ahmedabad
2017,Maruti,Dzire VDI,72753,Diesel,Manual,₹6.16 Lakh,Ahmedabad
2017,Maruti,Alto 800 LXI,76676,Petrol,Manual,₹2.74 Lakh,Ahmedabad
2021,Tata,Harrier XZA PLUS 2.0L,47873,Diesel,Automatic,₹15.92 Lakh,Ahmedabad
2018,Maruti,IGNIS DELTA 1.2,120953,CNG,Manual,₹4.21 Lakh,Ahmedabad
2021,Renault,TRIBER RXT,42589,Petrol,Manual,₹5.76 Lakh,Ahmedabad
2022,Maruti,IGNIS DELTA 1.2,26553,Petrol,Manual,₹5.44 Lakh,Ahmedabad
2017,Maruti,Baleno ALPHA PETROL 1.2,76121,Petrol,Manual,₹5.73 Lakh,Ahmedabad
2022,Maruti,Baleno ALPHA 1.2 AGS,8368,Petrol,Automatic,₹8.61 Lakh,Ahmedabad
2017,Volkswagen,Polo HIGHLINE1.2L,30862,Petrol,Manual,₹4.99 Lakh,Ahmedabad
2020,Tata,NEXON XM PETROL,14426,Petrol,Manual,₹6.90 Lakh,Ahmedabad
2014,Hyundai,Elite i20 ASTA 1.2,86390,Petrol,Manual,₹4.55 Lakh,Ahmedabad
2014,Maruti,Swift VXI,95421,Petrol,Manual,₹3.72 Lakh,Ahmedabad
2019,Honda,Amaze 1.2L I-VTEC E,53036,Petrol,Manual,₹5.33 Lakh,Ahmedabad
2018,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,51338,Petrol,Manual,₹6.41 Lakh,Ahmedabad
2018,Renault,Duster RXS CVT,40107,Petrol,Automatic,₹5.87 Lakh,Ahmedabad
2022,Tata,TIGOR XM CNG,23966,CNG,Manual,₹6.77 Lakh,Ahmedabad
2021,Mahindra,Thar LX D 4*4 MT HT,52145,Diesel,Manual,₹11.75 Lakh,Ahmedabad
2018,Maruti,Alto K10 VXI,24914,Petrol,Manual,₹3.18 Lakh,Ahmedabad
2020,Maruti,Baleno DELTA PETROL 1.2,40205,Petrol,Manual,₹6.23 Lakh,Ahmedabad
2022,Volkswagen,Vento HIGHLINE PLUS 1.0L TSI AT,23943,Petrol,Automatic,₹10.72 Lakh,Ahmedabad
2019,Datsun,Redi Go T (O),20851,Petrol,Manual,₹2.46 Lakh,Ahmedabad
2013,Honda,City 1.5L I-VTEC S MT,85713,CNG,Manual,₹3.97 Lakh,Ahmedabad
2020,Tata,ALTROZ XT PETROL,57353,Petrol,Manual,₹6.02 Lakh,Ahmedabad
2019,Maruti,Alto LXI,64745,Petrol,Manual,₹3.13 Lakh,Ahmedabad
2019,Tata,NEXON XZ PLUS PETROL,44565,Petrol,Manual,₹7.62 Lakh,Ahmedabad
2017,Honda,WR-V 1.2L I-VTEC VX MT,39909,Petrol,Manual,₹6.89 Lakh,Ahmedabad
2021,Hyundai,Creta SX IVT 1.5 PETROL,44617,Petrol,Automatic,₹13.82 Lakh,Ahmedabad
2017,Hyundai,Eon ERA +,74468,Petrol,Manual,₹2.73 Lakh,Ahmedabad
2023,Mahindra,XUV300 W8 1.5 DIESEL,2634,Diesel,Manual,₹11.39 Lakh,Ahmedabad
2017,Hyundai,Creta SX PLUS AT 1.6 PETROL,98493,Petrol,Automatic,₹9.54 Lakh,Bangalore
2018,Renault,Kwid 1.0 MARVEL IRON MAN EDITION AMT,19178,Petrol,Automatic,₹4.07 Lakh,Bangalore
2017,Nissan,Micra XV CVT,35474,Petrol,Automatic,₹5.28 Lakh,Bangalore
2017,Hyundai,Eon ERA PLUS (O),33963,Petrol,Manual,₹3.81 Lakh,Bangalore
2012,Maruti,Swift VXI,64557,Petrol,Manual,₹4.63 Lakh,Bangalore
2019,Hyundai,Creta SX 1.6 DIESEL,43987,Diesel,Manual,₹11.52 Lakh,Bangalore
2023,Renault,Kwid CLIMBER AMT 1.0,3996,Petrol,Automatic,₹6.31 Lakh,Bangalore
2017,Maruti,IGNIS ZETA 1.2,47285,Petrol,Manual,₹4.66 Lakh,Bangalore
2017,Maruti,IGNIS ZETA 1.2 AMT,22456,Petrol,Automatic,₹6.12 Lakh,Bangalore
2019,Hyundai,NEW SANTRO MAGNA,33609,Petrol,Manual,₹4.29 Lakh,Bangalore
2016,Maruti,Alto K10 VXI,65484,Petrol,Manual,₹3.18 Lakh,Bangalore
2016,Maruti,Celerio VXI,29309,Petrol,Manual,₹4.16 Lakh,Bangalore
2014,Maruti,Alto K10 VXI,49599,Petrol,Manual,₹3.00 Lakh,Bangalore
2012,Maruti,Alto K10 VXI,71979,Petrol,Manual,₹2.54 Lakh,Bangalore
2021,Hyundai,NEW I20 ASTA 1.0 TURBO IMT DUAL TONE,26797,Petrol,Manual,₹10.21 Lakh,Bangalore
2021,Renault,Kwid RXT 1.0 AMT (O),14078,Petrol,Automatic,₹5.15 Lakh,Bangalore
2022,Maruti,Grand Vitara ALPHA SMART HYBRID ALLGRIP,14358,Petrol,Manual,₹16.16 Lakh,Bangalore
2018,Renault,Kwid RXT 1.0 (O),48905,Petrol,Manual,₹3.46 Lakh,Bangalore
2023,Tata,PUNCH CREATIVE IRA AMT 1.2 RTN DUAL TONE,7511,Petrol,Automatic,₹9.64 Lakh,Bangalore
2017,Renault,Kwid CLIMBER 1.0 AMT,89552,Petrol,Automatic,₹3.20 Lakh,Bangalore
2019,Mahindra,XUV300 W6 1.2 PETROL,42731,Petrol,Manual,₹7.64 Lakh,Bangalore
2022,KIA,CARENS PREMIUM 1.4 PETROL 7 STR,41209,Petrol,Manual,₹10.96 Lakh,Bangalore
2013,Maruti,Swift VDI,96413,Diesel,Manual,₹4.44 Lakh,Bangalore
2019,Hyundai,Creta SX AT 1.6 PETROL,43448,Petrol,Automatic,₹11.28 Lakh,Bangalore
2016,Hyundai,Creta SX PLUS AT 1.6 PETROL,97183,Petrol,Automatic,₹8.73 Lakh,Bangalore
2023,Toyota,Glanza V AMT,7757,Petrol,Automatic,₹10.72 Lakh,Bangalore
2018,Renault,Duster 85 PS RXS MT DIESEL,29137,Diesel,Manual,₹9.06 Lakh,Bangalore
2012,Hyundai,i20 SPORTZ 1.2,99928,Petrol,Manual,₹4.06 Lakh,Bangalore
2020,Tata,NEXON XZA PLUS (O) PETROL,38575,Petrol,Automatic,₹10.38 Lakh,Bangalore
2022,Maruti,Baleno DELTA 1.2 AGS,43431,Petrol,Automatic,₹7.39 Lakh,Bangalore
2021,Hyundai,Verna SX (O) 1.5 VTVT IVT,26940,Petrol,Automatic,₹13.32 Lakh,Bangalore
2018,Hyundai,Creta SX PLUS AT 1.6 PETROL,66956,Petrol,Automatic,₹9.42 Lakh,Bangalore
2021,Renault,Kwid CLIMBER 1.0 (O),15159,Petrol,Manual,₹4.78 Lakh,Bangalore
2021,Renault,TRIBER RXL MT,14852,Petrol,Manual,₹6.30 Lakh,Bangalore
2021,Renault,Kwid CLIMBER 1.0 AMT (O),29584,Petrol,Automatic,₹5.56 Lakh,Bangalore
2018,Honda,BR-V 1.5L I-VTEC V,37010,Petrol,Manual,₹8.02 Lakh,Bangalore
2020,Maruti,Ciaz ALPHA AT 1.5 SHVS PETROL,70110,Petrol,Automatic,₹8.59 Lakh,Bangalore
2018,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,91312,Petrol,Manual,₹5.18 Lakh,Bangalore
2013,Ford,Ecosport TITANIUM 1.5L DIESEL,74790,Diesel,Manual,₹5.67 Lakh,Bangalore
2019,Mahindra,XUV300 W8 (O) 1.5 DIESEL,35712,Diesel,Manual,₹10.59 Lakh,Bangalore
2022,KIA,SELTOS HTK 1.5 PETROL,9536,Petrol,Manual,₹12.09 Lakh,Bangalore
2016,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,63572,Petrol,Manual,₹4.49 Lakh,Bangalore
2020,Maruti,S PRESSO VXI+,36650,Petrol,Manual,₹4.33 Lakh,Bangalore
2013,Nissan,Terrano XL (P),101262,Petrol,Manual,₹4.51 Lakh,Bangalore
2021,Renault,Kwid RXT 1.0 AMT (O),31053,Petrol,Automatic,₹5.00 Lakh,Bangalore
2016,Maruti,Swift VXI,69995,Petrol,Manual,₹5.70 Lakh,Bangalore
2012,Maruti,Swift VDI,96264,Diesel,Manual,₹4.14 Lakh,Bangalore
2017,Renault,Kwid RXL 1.0,30823,Petrol,Manual,₹3.57 Lakh,Bangalore
2022,Tata,NEXON XZA PLUS PETROL,31940,Petrol,Automatic,₹10.38 Lakh,Bangalore
