year,company,car_name,km_driven,fuel_type,transmission,price,location
2021,Maruti,Baleno ZETA PETROL 1.2,19858,Petrol,Manual,₹6.99 Lakh,Ahmedabad
2018,Maruti,Ertiga ZDI + SHVS,67348,Diesel,Manual,₹8.75 Lakh,Ahmedabad
2023,Nissan,MAGNITE XV MT,22774,Petrol,Manual,₹7.70 Lakh,Ahmedabad
2019,Maruti,Ciaz ALPHA AT 1.5 SHVS PETROL,86706,Petrol,Automatic,₹7.47 Lakh,Ahmedabad
2020,Hyundai,VENUE SX 1.0 (O) TURBO IMT DUAL TONE,29424,Petrol,Manual,₹10.23 Lakh,Ahmedabad
2021,Mahindra,Thar LX D AT 4WD HT,30063,Diesel,Automatic,₹13.97 Lakh,Ahmedabad
2022,Tata,Harrier XZ PLUS 2.0L DUAL TONE,25391,Diesel,Manual,₹18.60 Lakh,Ahmedabad
2015,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,124292,Petrol,Manual,₹3.75 Lakh,Ahmedabad
2020,Maruti,Baleno DELTA PETROL 1.2,21583,Petrol,Manual,₹6.12 Lakh,Ahmedabad
2023,Honda,Amaze 1.2L I-VTEC VX CVT,7266,Petrol,Automatic,₹8.80 Lakh,Ahmedabad
2020,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,40753,Petrol,Manual,₹8.39 Lakh,Ahmedabad
2018,Honda,Amaze 1.2L I-VTEC S,69410,CNG,Manual,₹5.07 Lakh,Ahmedabad
2016,Hyundai,Creta SX PLUS AT 1.6 PETROL,77051,Petrol,Automatic,₹7.70 Lakh,Ahmedabad
2021,Maruti,Baleno ZETA PETROL 1.2,23309,Petrol,Manual,₹7.26 Lakh,Ahmedabad
2017,Hyundai,Verna 1.6 CRDI SX,90504,Diesel,Manual,₹6.87 Lakh,Ahmedabad
2021,Mahindra,Thar LX PETROL HT 4WD AT,52389,Petrol,Automatic,₹13.09 Lakh,Ahmedabad
2019,Hyundai,Elite i20 SPORTZ PLUS 1.2,65367,Petrol,Manual,₹6.20 Lakh,Ahmedabad
2023,Skoda,SLAVIA ACTIVE 1.0L TSI MT,15168,Petrol,Manual,₹10.37 Lakh,Ahmedabad
2016,Hyundai,Elite i20 SPORTZ 1.2,80656,Petrol,Manual,₹5.10 Lakh,Ahmedabad
2021,Toyota,URBAN CRUISER HIGH GRADE AT,32375,Petrol,Automatic,₹8.69 Lakh,Ahmedabad
2014,Maruti,Alto K10 VXI,36066,Petrol,Manual,₹2.26 Lakh,Ahmedabad
2020,Hyundai,Creta SX 1.5 PETROL,64149,Petrol,Manual,₹11.60 Lakh,Ahmedabad
2019,Hyundai,Creta S 1.4 DIESEL,63608,Diesel,Manual,₹9.82 Lakh,Ahmedabad
2017,Honda,WR-V 1.5L I-DTEC S MT,109965,Diesel,Manual,₹4.50 Lakh,Ahmedabad
2020,Maruti,Dzire VXI,61231,Petrol,Manual,₹5.73 Lakh,Ahmedabad
2016,Maruti,Baleno DELTA PETROL 1.2,29235,Petrol,Manual,₹4.82 Lakh,Ahmedabad
2019,Maruti,Baleno DELTA PETROL 1.2,58679,Petrol,Manual,₹5.54 Lakh,Ahmedabad
2019,Hyundai,VENUE SX 1.0 TURBO,99901,Petrol,Manual,₹7.09 Lakh,Ahmedabad
2022,Maruti,Swift ZXI PLUS,38909,Petrol,Manual,₹7.25 Lakh,Ahmedabad
2014,Maruti,Celerio VXI AMT,106679,Petrol,Automatic,₹2.95 Lakh,Ahmedabad
2021,Hyundai,Creta SX (O) 1.4 TURBO DCT,51190,Petrol,Automatic,₹13.31 Lakh,Ahmedabad
2018,Hyundai,Elite i20 ASTA 1.2 (O),96799,CNG,Manual,₹6.48 Lakh,Ahmedabad
2017,Jeep,Compass LONGITUDE (O) 2.0 DIESEL,97907,Diesel,Manual,₹8.85 Lakh,Ahmedabad
2013,Maruti,Swift Dzire VXI,70348,Petrol,Manual,₹3.68 Lakh,Ahmedabad
2016,Maruti,Vitara Brezza VDI,86345,Diesel,Manual,₹6.32 Lakh,Ahmedabad
2018,Maruti,Dzire VXI,86832,Petrol,Manual,₹5.16 Lakh,Ahmedabad
2017,Hyundai,Creta SX PLUS AT 1.6 DIESEL,88545,Diesel,Automatic,₹8.70 Lakh,Ahmedabad
2020,Hyundai,AURA S 1.2 AMT,24408,Petrol,Automatic,₹6.67 Lakh,Ahmedabad
2019,Hyundai,VENUE SX 1.0 TURBO,31832,Petrol,Manual,₹8.50 Lakh,Ahmedabad
2021,Renault,Kwid RXT 0.8,42360,Petrol,Manual,₹3.98 Lakh,Ahmedabad
2021,Mahindra,Thar LX D 4*4 MT HT,43189,Diesel,Manual,₹12.27 Lakh,Ahmedabad
2017,Maruti,Alto 800 LXI,110866,Petrol,Manual,₹2.45 Lakh,Ahmedabad
2021,Hyundai,Creta SX (O) IVT 1.5 PETROL,15747,Petrol,Automatic,₹15.17 Lakh,Ahmedabad
2022,Tata,Tiago XZA PLUS PETROL,2507,Petrol,Automatic,₹6.36 Lakh,Ahmedabad
2021,Hyundai,GRAND I10 NIOS MAGNA AMT 1.2 KAPPA VTVT,27427,Petrol,Automatic,₹6.30 Lakh,Ahmedabad
2022,Mahindra,XUV700 AX 7 LUXURY D AWD AT 7 STR,38833,Diesel,Automatic,₹22.86 Lakh,Ahmedabad
2019,Honda,City 1.5L I-VTEC VX,59711,Petrol,Manual,₹8.48 Lakh,Ahmedabad
2021,Maruti,Swift ZXI PLUS AMT DUAL TONE,24487,Petrol,Automatic,₹7.59 Lakh,Ahmedabad
2020,KIA,SELTOS HTX PLUS AT1.5 DIESEL,73055,Diesel,Automatic,₹12.61 Lakh,Ahmedabad
2020,Volkswagen,Polo TRENDLINE 1.0L,52237,Petrol,Manual,₹5.07 Lakh,Ahmedabad
2016,Maruti,Alto 800 LXI,68741,Petrol,Manual,₹2.40 Lakh,Ahmedabad
2021,KIA,SONET HTK PLUS 1.0 DCT,53366,Petrol,Automatic,₹8.94 Lakh,Ahmedabad
2014,Maruti,Swift VXI,124105,CNG,Manual,₹3.69 Lakh,Ahmedabad
2018,Honda,City 1.5L I-VTE V CVT,68533,Petrol,Automatic,₹8.27 Lakh,Ahmedabad
2023,Maruti,Alto K10 VXI,9048,Petrol,Manual,₹4.56 Lakh,Ahmedabad
2020,Hyundai,GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,27296,Petrol,Manual,₹6.59 Lakh,Ahmedabad
2019,Renault,Kwid RXT 1.0 (O),34833,Petrol,Manual,₹3.51 Lakh,Ahmedabad
2022,Maruti,BREZZA ZXI SMART HYBRID,13425,Petrol,Manual,₹10.51 Lakh,Ahmedabad
2017,Ford,Ecosport TITANIUM 1.5L DIESEL,111848,Diesel,Manual,₹5.38 Lakh,Ahmedabad
2017,Maruti,Alto 800 LXI,87934,Petrol,Manual,₹2.81 Lakh,Ahmedabad
2018,Hyundai,Grand i10 SPORTZ AT 1.2 KAPPA VTVT,27211,Petrol,Automatic,₹5.58 Lakh,Ahmedabad
2014,Honda,Brio S MT,114719,CNG,Manual,₹3.89 Lakh,Ahmedabad
2017,Volkswagen,Vento HIGHLINE DIESEL 1.5,111447,Diesel,Manual,₹6.28 Lakh,Ahmedabad
2023,Maruti,Alto K10 VXI PLUS,10106,Petrol,Manual,₹4.91 Lakh,Ahmedabad
2014,Maruti,Wagon R 1.0 VXI,99572,Petrol,Manual,₹2.97 Lakh,Ahmedabad
2016,Honda,Jazz 1.2L I-VTEC V AT,80544,Petrol,Automatic,₹4.92 Lakh,Ahmedabad
2020,Honda,Amaze 1.2L I-VTEC VX CVT,68560,Petrol,Automatic,₹6.97 Lakh,Ahmedabad
2021,Hyundai,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,42935,Petrol,Manual,₹6.16 Lakh,Ahmedabad
2021,Tata,Harrier XZA PLUS 2.0L DARK EDITION,49218,Diesel,Automatic,₹17.16 Lakh,Ahmedabad
2011,Honda,Jazz 1.2 L I-VTEC SELECT,119805,Petrol,Manual,₹2.34 Lakh,Ahmedabad
2017,Maruti,Baleno ZETA PETROL 1.2,60499,Petrol,Manual,₹5.13 Lakh,Ahmedabad
2018,Maruti,Ciaz ZETA 1.4 AT PETROL,64686,Petrol,Automatic,₹6.48 Lakh,Ahmedabad
2020,Tata,Tiago XZ PETROL,57697,Petrol,Manual,₹4.51 Lakh,Ahmedabad
2012,Maruti,Wagon R 1.0 LXI,83474,Petrol,Manual,₹2.35 Lakh,Ahmedabad
2016,Maruti,Ciaz VXI+,54635,Petrol,Manual,₹5.61 Lakh,Ahmedabad
2019,MG,HECTOR SHARP HYBRID 1.5 PETROL,47069,Petrol,Manual,₹11.92 Lakh,Ahmedabad
2012,Maruti,Wagon R 1.0 LXI,55994,Petrol,Manual,₹2.51 Lakh,Ahmedabad
2021,Renault,TRIBER RXZ,48280,Petrol,Manual,₹5.89 Lakh,Ahmedabad
2015,Honda,City 1.5L I-VTEC V MT,94999,Petrol,Manual,₹5.45 Lakh,Ahmedabad
2021,Tata,Safari XT,23728,Diesel,Manual,₹14.63 Lakh,Ahmedabad
2015,Hyundai,i10 MAGNA 1.1,45144,Petrol,Manual,₹2.98 Lakh,Ahmedabad
2015,Honda,City 1.5L I-DTEC V,91432,Diesel,Manual,₹5.30 Lakh,Ahmedabad
2018,Jeep,Compass LIMITED 2.0 DIESEL,60972,Diesel,Manual,₹9.70 Lakh,Ahmedabad
2023,Tata,NEXON XM PLUS SUNROOF PETROL,18122,Petrol,Manual,₹9.09 Lakh,Ahmedabad
2015,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,55222,Petrol,Manual,₹4.32 Lakh,Ahmedabad
2017,Hyundai,Eon ERA +,66667,Petrol,Manual,₹2.93 Lakh,Ahmedabad
2021,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,11395,Petrol,Manual,₹8.74 Lakh,Ahmedabad
2019,Datsun,Go T,62759,CNG,Manual,₹3.90 Lakh,Ahmedabad
2022,Hyundai,VENUE SX 1.2 PETROL,22171,Petrol,Manual,₹9.79 Lakh,Ahmedabad
2016,Maruti,Swift Dzire VXI,47275,Petrol,Manual,₹5.32 Lakh,Ahmedabad
2021,Renault,Kwid RXT 0.8,20267,Petrol,Manual,₹4.05 Lakh,Ahmedabad
2020,Nissan,MAGNITE XV TURBO DUAL TONE,21393,Petrol,Manual,₹6.68 Lakh,Ahmedabad
2016,Hyundai,Elite i20 SPORTZ 1.2,33335,Petrol,Manual,₹5.22 Lakh,Ahmedabad
